site_name,keyword,search_volume,competition,competition_index,cpc,market,batch_id,source,category,intent,recommended_asset,priority,priority_score
中国结,chinese knot tutorial,1300,LOW,1,0.05,us-en,core,primary,tutorial-diy,informational,step guide / visual tutorial,P1,165
中国结,chinese knotting,5400,LOW,10,0.46,us-en,existing-export,existing-export,general,mixed,pillar page,P1,161
中国结,chinese knot,5400,LOW,10,0.46,us-en,core,primary,general,mixed,pillar page,P1,161
中国结,chinese knotwork,5400,LOW,10,0.46,us-en,core,primary,general,mixed,pillar page,P1,161
中国结,chinese knots,5400,LOW,10,0.46,us-en,meaning-gifts,primary,general,mixed,pillar page,P1,161
中国结,endless knot meaning,1300,LOW,9,1.44,us-en,types,primary,meaning-symbolism,mixed,meaning article / FAQ hub,P1,161
中国结,how to tie chinese knot,320,LOW,0,0.02,us-en,existing-export,existing-export,tutorial-diy,informational,step guide / visual tutorial,P1,138
中国结,how to make a chinese knot,320,LOW,6,0.07,us-en,existing-export,existing-export,tutorial-diy,informational,step guide / visual tutorial,P1,137
中国结,how to make chinese knot,320,LOW,6,0.07,us-en,tutorials-diy,primary,tutorial-diy,informational,step guide / visual tutorial,P1,137
中国结,how to make a chinese button knot,320,LOW,6,0.07,us-en,tutorials-diy,primary,tutorial-diy,informational,step guide / visual tutorial,P1,137
中国结,chinese lucky knot,1300,LOW,11,0.08,us-en,types,primary,general,mixed,pillar page,P1,135
中国结,chinese knot meaning,590,LOW,0,0,us-en,existing-export,existing-export,meaning-symbolism,mixed,meaning article / FAQ hub,P1,134
中国结,button knot,720,LOW,23,0.19,us-en,types,primary,knot-types,mixed,cluster page / glossary,P1,131
中国结,pan chang knot,590,LOW,0,0,us-en,types,primary,knot-types,mixed,cluster page / glossary,P1,131
中国结,chinese button knot,880,MEDIUM,56,0.3,us-en,types,primary,knot-types,mixed,cluster page / glossary,P1,128
中国结,chinese lucky knot tutorial,170,LOW,0,0.06,us-en,core,primary,tutorial-diy,informational,step guide / visual tutorial,P1,127
中国结,chinese knot jewelry,480,MEDIUM,36,1.21,us-en,types,primary,general,mixed,pillar page,P1,125
中国结,chinese knotting cord,1000,HIGH,99,0.43,us-en,existing-export,existing-export,product-craft,commercial,gift / affiliate / DIY supply page,P1,123
中国结,chinese knot cord,1000,HIGH,99,0.43,us-en,tutorials-diy,primary,product-craft,commercial,gift / affiliate / DIY supply page,P1,123
中国结,pan chang knot meaning,90,LOW,1,2.69,us-en,types,primary,meaning-symbolism,mixed,meaning article / FAQ hub,P1,123
中国结,double coin knot,320,LOW,0,0,us-en,types,primary,knot-types,mixed,cluster page / glossary,P1,121
中国结,button knot paracord,140,LOW,0,0.8,us-en,types,primary,product-craft,commercial,gift / affiliate / DIY supply page,P1,119
中国结,chinese knot bracelet,590,HIGH,95,0.56,us-en,core,primary,product-craft,commercial,gift / affiliate / DIY supply page,P1,117
中国结,symbolic chinese knot meanings,210,LOW,0,0,us-en,existing-export,existing-export,meaning-symbolism,mixed,meaning article / FAQ hub,P1,117
中国结,step by step chinese knots,140,LOW,32,0.18,us-en,tutorials-diy,primary,tutorial-diy,informational,step guide / visual tutorial,P1,117
中国结,chinese good luck knot,390,LOW,8,0.06,us-en,core,primary,general,mixed,pillar page,P1,116
中国结,chinese knot good luck,390,LOW,8,0.06,us-en,core,primary,general,mixed,pillar page,P1,116
中国结,pan chang knot tutorial,90,LOW,0,0,us-en,core,primary,tutorial-diy,informational,step guide / visual tutorial,P1,115
中国结,chinese knot keychain,590,HIGH,90,0.17,us-en,existing-export,existing-export,product-craft,commercial,gift / affiliate / DIY supply page,P1,114
中国结,types of chinese knots and their meanings,170,LOW,2,0,us-en,existing-export,existing-export,meaning-symbolism,mixed,meaning article / FAQ hub,P1,113
中国结,good luck knot,320,LOW,9,0,us-en,core,primary,general,mixed,pillar page,P1,112
中国结,tying chinese knots,210,LOW,2,0.37,us-en,meaning-gifts,primary,general,mixed,pillar page,P1,112
中国结,chinese knot bracelet tutorial,90,LOW,1,0.06,us-en,tutorials-diy,primary,tutorial-diy,commercial,step guide / visual tutorial,P1,112
中国结,chinese knot how to,70,LOW,0,0.03,us-en,existing-export,existing-export,tutorial-diy,informational,step guide / visual tutorial,P1,112
中国结,chinese button knot tutorial,70,LOW,0,0.03,us-en,core,primary,tutorial-diy,informational,step guide / visual tutorial,P1,112
中国结,chinese knots how to,70,LOW,0,0.03,us-en,meaning-gifts,primary,tutorial-diy,informational,step guide / visual tutorial,P1,112
中国结,how to make chinese knot bracelet,50,LOW,19,1.13,us-en,tutorials-diy,primary,tutorial-diy,commercial,step guide / visual tutorial,P1,111
中国结,how to make a chinese knot bracelet,50,LOW,19,1.13,us-en,expansion,expansion,tutorial-diy,commercial,step guide / visual tutorial,P1,111
中国结,chinese knot color meaning,140,LOW,0,0,us-en,existing-export,existing-export,meaning-symbolism,mixed,meaning article / FAQ hub,P1,110
